WMD,EstA,EstJ,TotalTurk,Avail
0,50,50,100,N
1,50,50,100,N
2,50,50,100,N
3,50,50,100,N
4,50,50,100,N
5,50,50,100,N
6,50,50,100,N
7,48.18293333,121.858,171,Y
8,21.2128,196.0036,218,Y
9,15.1132,22.55475556,38,Y
10,18.12724444,97.50137778,116,Y
11,87.20422222,256.8177778,345,Y
12,381.5045333,661.144,1043,Y
13,122.2141778,416.9023556,540,Y
14,68.76613333,461.1048444,530,Y
15,1278.177867,3006.748178,4285,Y
16,845.2924889,2232.836667,3079,Y
17,711.4470222,2627.269289,3339,Y
18,125.4857778,337.5799556,464,Y
19,33.48,87.60217778,122,Y
20,1119.481422,2740.602489,3861,Y
21,1190.497733,3094.916978,4286,Y
22,796.5727111,2318.5324,3116,Y
23,1166.498667,3663.532044,4831,Y
24,357.9968,566.7244444,925,Y
25,1785.9248,4662.457822,6449,Y
26,540.3671111,1315.631956,1856,Y
27,50,50,100,N
28,114.9976444,175.8591111,291,Y
